iter	Passed	Remaining
0	1	174
1	3	156
2	4	149
3	5	136
4	7	134
5	8	132
6	9	131
7	11	129
8	12	128
9	14	126
10	15	125
11	16	123
12	18	122
13	19	120
14	21	119
15	22	117
16	23	116
17	25	114
18	26	113
19	27	111
20	29	110
21	30	108
22	32	107
23	33	106
24	35	105
25	36	103
26	37	102
27	39	101
28	40	99
29	42	98
30	43	96
31	44	95
32	46	93
33	47	92
34	49	91
35	50	89
36	51	88
37	53	86
38	54	85
39	56	84
40	57	82
41	57	80
42	59	78
43	60	77
44	62	76
45	63	74
46	64	73
47	66	71
48	67	70
49	69	69
50	70	67
51	71	66
52	73	65
53	74	63
54	75	61
55	77	60
56	78	59
57	79	57
58	81	56
59	82	55
60	84	53
61	85	52
62	86	50
63	88	49
64	89	48
65	90	46
66	92	45
67	93	44
68	95	42
69	96	41
70	97	39
71	99	38
72	100	37
73	102	35
74	103	34
75	104	33
76	106	31
77	107	30
78	109	28
79	110	27
80	111	26
81	113	24
82	114	23
83	115	22
84	117	20
85	118	19
86	120	18
87	122	16
88	124	15
89	125	13
90	127	12
91	128	11
92	129	9
93	131	8
94	132	6
95	133	5
96	135	4
97	136	2
98	137	1
99	139	0
