iter	Passed	Remaining
0	149	149208
1	154	77301
2	160	53304
3	163	40833
4	169	33757
5	172	28604
6	174	24800
7	176	21864
8	177	19566
9	179	17730
10	182	16400
11	184	15191
12	186	14152
13	187	13225
14	189	12425
15	190	11720
16	191	11099
17	193	10544
18	196	10129
19	198	9737
20	201	9375
21	202	9016
22	204	8677
23	205	8362
24	207	8078
25	208	7811
26	211	7631
27	213	7417
28	215	7219
29	217	7018
30	218	6827
31	219	6648
32	221	6479
33	222	6320
34	225	6227
35	228	6108
36	230	5988
37	231	5860
38	232	5737
39	234	5620
40	235	5508
41	236	5403
42	240	5353
43	242	5272
44	244	5194
45	246	5106
46	247	5019
47	248	4936
48	250	4857
49	251	4780
50	255	4745
51	257	4694
52	259	4639
53	261	4572
54	262	4507
55	263	4445
56	265	4385
57	266	4326
58	268	4281
59	271	4251
60	273	4208
61	274	4157
62	276	4107
63	277	4059
64	278	4011
65	280	3965
66	281	3920
67	283	3882
68	285	3846
69	286	3807
70	287	3766
71	289	3727
72	290	3689
73	291	3652
74	293	3616
75	294	3581
76	295	3546
77	297	3512
78	298	3484
79	300	3454
80	301	3423
81	303	3393
82	303	3357
83	305	3329
84	306	3301
85	307	3273
86	309	3245
87	310	3219
88	311	3193
89	313	3168
90	314	3143
91	316	3118
92	317	3095
93	318	3071
94	320	3048
95	321	3026
96	322	3003
97	323	2981
98	325	2960
99	326	2938
100	327	2917
101	329	2899
102	330	2879
103	332	2860
104	333	2841
105	334	2822
106	336	2804
107	337	2786
108	338	2768
109	339	2750
110	341	2733
111	342	2716
112	343	2699
113	345	2683
114	346	2667
115	347	2651
116	349	2633
117	350	2618
118	351	2603
119	352	2588
120	354	2573
121	355	2557
122	356	2543
123	358	2531
124	359	2517
125	361	2504
126	362	2489
127	363	2476
128	365	2465
129	366	2452
130	367	2439
131	369	2426
132	370	2414
133	371	2403
134	373	2393
135	375	2382
136	376	2374
137	378	2363
138	380	2354
139	381	2346
140	384	2339
141	385	2327
142	387	2321
143	389	2312
144	390	2303
145	392	2293
146	393	2282
147	394	2272
148	396	2262
149	397	2252
150	398	2242
151	400	2232
152	401	2222
153	402	2212
154	404	2203
155	405	2194
156	406	2184
157	408	2175
158	409	2166
159	410	2157
160	411	2145
161	413	2136
162	414	2128
163	415	2119
164	417	2110
165	418	2102
166	419	2094
167	421	2085
168	422	2077
169	423	2069
170	425	2061
171	426	2053
172	427	2045
173	429	2039
174	431	2035
175	433	2029
176	435	2023
177	436	2016
178	438	2009
179	439	2003
180	441	1997
181	442	1990
182	444	1983
183	445	1975
184	446	1968
185	448	1960
186	449	1953
187	450	1946
188	452	1940
189	453	1932
190	454	1926
191	456	1919
192	457	1912
193	458	1906
194	460	1899
195	461	1892
196	462	1886
197	464	1879
198	465	1873
199	466	1866
200	467	1860
201	469	1853
202	470	1847
203	471	1841
204	473	1835
205	474	1829
206	475	1822
207	477	1816
208	478	1810
209	479	1804
210	481	1798
211	482	1793
212	483	1787
213	485	1781
214	486	1775
215	487	1770
216	489	1764
217	490	1758
218	491	1753
219	492	1747
220	494	1742
221	495	1736
222	496	1731
223	498	1725
224	499	1720
225	501	1716
226	503	1713
227	504	1709
228	506	1705
229	508	1701
230	512	1707
231	514	1704
232	517	1702
233	519	1701
234	522	1699
235	525	1700
236	527	1698
237	529	1696
238	531	1692
239	533	1688
240	534	1683
241	536	1679
242	537	1675
243	541	1676
244	544	1677
245	547	1677
246	548	1673
247	550	1669
248	552	1665
249	553	1660
250	556	1661
251	561	1665
252	562	1661
253	564	1657
254	565	1652
255	567	1648
256	569	1647
257	571	1644
258	575	1646
259	577	1642
260	578	1638
261	580	1634
262	584	1637
263	591	1649
264	593	1644
265	594	1641
266	597	1640
267	599	1637
268	602	1638
269	604	1634
270	605	1630
271	607	1625
272	609	1622
273	613	1626
274	620	1635
275	621	1630
276	622	1626
277	624	1621
278	625	1616
279	629	1618
280	635	1625
281	636	1620
282	637	1616
283	639	1611
284	640	1607
285	648	1619
286	651	1618
287	652	1614
288	654	1609
289	655	1605
290	656	1600
291	662	1605
292	665	1605
293	666	1601
294	668	1597
295	669	1592
296	671	1588
297	672	1583
298	679	1593
299	681	1590
300	683	1586
301	684	1581
302	685	1577
303	687	1573
304	690	1572
305	695	1576
306	696	1572
307	698	1568
308	699	1564
309	700	1559
310	702	1555
311	704	1553
312	708	1554
313	709	1550
314	710	1545
315	712	1541
316	713	1537
317	714	1533
318	716	1529
319	717	1524
320	720	1523
321	721	1519
322	723	1515
323	724	1511
324	725	1507
325	727	1503
326	728	1499
327	729	1495
328	731	1491
329	732	1487
